narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes,narration_number,narration_number_large,verb_noun_pair,affordance,irr-action,grasp-type,affordance_classes,irr-action_classes,action_classes,verb_classes
P01_01_2,P01,P01_01,00:00:05.349,00:00:06.98,00:00:09.49,418,569,close door,close,4,door,3,['door'],[3],1.0002,10001.0002,close--door,push(rotate)4,push(rotate),4,0,0,0,0
P01_01_3,P01,P01_01,00:00:11.040,00:00:12.77,00:00:13.99,766,839,open fridge,open,3,fridge,12,['fridge'],[12],1.0003,10001.0003,open--fridge,pull4,pull,4,1,1,1,1
P01_01_7,P01,P01_01,00:00:20.410,00:00:21.91,00:00:23.33,1314,1399,close fridge,close,4,fridge,12,['fridge'],[12],1.0007,10001.0007,close--fridge,push0,push,0,2,2,2,0
P01_01_8,P01,P01_01,00:00:21.650,00:00:23.18,00:00:24.29,1390,1457,open fridge,open,3,fridge,12,['fridge'],[12],1.0008,10001.0008,open--fridge,pull4,pull,4,1,1,1,1
P01_01_10,P01,P01_01,00:00:23.340,00:00:24.97,00:00:26.20,1498,1572,open drawer,open,3,drawer,8,['drawer'],[8],1.001,10001.001,open--drawer,pull4,pull,4,1,1,3,1
P01_01_11,P01,P01_01,00:00:27.960,00:00:29.22,00:00:31.32,1753,1879,close fridge,close,4,fridge,12,['fridge'],[12],1.0011,10001.0011,close--fridge,push0,push,0,2,2,2,0
P01_01_13,P01,P01_01,00:00:39.780,00:00:41.79,00:00:42.55,2507,2553,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.0013,10001.0013,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_15,P01,P01_01,00:00:45.649,00:00:46.45,00:00:47.81,2787,2868,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18],1.0015,10001.0015,put-down--board:cutting,place1,place,1,3,3,5,2
P01_01_16,P01,P01_01,00:00:46.870,00:00:47.75,00:00:48.76,2865,2925,close cupboard,close,4,cupboard,3,['cupboard'],[3],1.0016,10001.0016,close--cupboard,push0,push,0,2,2,6,0
P01_01_17,P01,P01_01,00:00:50.360,00:00:51.66,00:00:53.00,3099,3180,open drawer,open,3,drawer,8,['drawer'],[8],1.0017,10001.0017,open--drawer,pull4,pull,4,1,1,3,1
P01_01_18,P01,P01_01,00:00:54.670,00:00:53.50,00:00:56.00,3210,3360,take knife,take,0,knife,4,['knife'],[4],1.0018,10001.0018,take--knife,pick3,pick,3,4,4,7,3
P01_01_19,P01,P01_01,00:00:51.700,00:00:53.55,00:00:54.36,3213,3261,take knife,take,0,knife,4,['knife'],[4],1.0019,10001.0019,take--knife,pick3,pick,3,4,4,7,3
P01_01_20,P01,P01_01,00:00:56.670,00:00:54.73,00:00:55.74,3283,3344,put down knife,put-down,1,knife,4,['knife'],[4],1.002,10001.002,put-down--knife,place3,place,3,5,3,8,2
P01_01_21,P01,P01_01,00:00:55.670,00:00:56.10,00:00:56.60,3366,3396,close drawer,close,4,drawer,8,['drawer'],[8],1.0021,10001.0021,close--drawer,push0,push,0,2,2,9,0
P01_01_22,P01,P01_01,00:00:53.670,00:00:57.45,00:00:58.70,3447,3522,put down knife,put-down,1,knife,4,['knife'],[4],1.0022,10001.0022,put-down--knife,place3,place,3,5,3,8,2
P01_01_28,P01,P01_01,00:01:20.469,00:01:22.19,00:01:23.19,4931,4991,close tap,turn-off,8,tap,0,['tap'],[0],1.0028,10001.0028,turn-off--tap,press0,press,0,6,5,10,4
P01_01_30,P01,P01_01,00:01:26.310,00:01:27.43,00:01:28.29,5245,5297,open cupboard,open,3,cupboard,3,['cupboard'],[3],1.003,10001.003,open--cupboard,pull4,pull,4,1,1,4,1
P01_01_33,P01,P01_01,00:01:39.149,00:01:40.74,00:01:42.26,6044,6135,put down pan,put-down,1,pan,5,['pan'],[5],1.0033,10001.0033,put-down--pan,place4,place,4,7,3,11,2
P01_01_34,P01,P01_01,00:01:41.340,00:01:41.66,00:01:42.41,6099,6144,close cupboard,close,4,cupboard,3,['cupboard'],[3],1.0034,10001.0034,close--cupboard,push0,push,0,2,2,6,0
